x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name
1898.9196,105.060585,1919.2618,199.92883,0,0.25929418,,person
1137.8099,889.48444,1239.3512,1076.9053,0,0.8334089,,person
675.36786,601.2796,749.78467,795.19543,0,0.814739,,person
245.4137,464.95926,326.73083,640.80347,0,0.76622635,,person
1463.0975,344.2846,1532.9098,506.03357,0,0.7649407,,person
1795.3806,154.9042,1860.8789,285.7543,0,0.66731274,,person
1141.228,474.56616,1212.7325,612.2805,14,0.66322494,,bird
755.8362,418.21783,816.03174,576.3637,0,0.65758985,,person
1397.1577,707.80597,1496.0922,886.64105,0,0.6409854,,person
571.08307,278.77255,631.71387,419.37286,0,0.6311819,,person
1850.0314,648.16406,1919.5228,839.2412,0,0.6238343,,person
1620.8954,17.85866,1661.45,127.1881,0,0.5949683,,person
723.27783,0.0,767.48645,92.24921,0,0.58802897,,person
925.73846,189.06308,980.6355,324.04672,0,0.5858275,,person
1091.5524,53.063316,1137.5093,156.99783,0,0.57845503,,person
799.5474,71.73873,839.36554,192.67653,0,0.56937945,,person
1677.3864,13.059677,1735.9175,149.14989,0,0.56611407,,person
1474.2654,495.60236,1557.7662,665.7017,0,0.54200333,,person
93.13896,126.59107,143.66643,248.92282,0,0.5220521,,person
902.68304,81.491295,944.2242,197.26773,0,0.515839,,person
853.59595,64.16274,890.95807,193.47862,0,0.5107264,,person
228.5733,29.758965,290.09125,145.3423,0,0.47657564,,person
367.706,5.271658,424.17883,125.63127,0,0.46977538,,person
710.3429,217.2962,768.0716,365.27493,0,0.46752506,,person
1207.1776,111.09467,1253.1086,247.75864,0,0.45962244,,person
985.4676,113.07209,1043.5684,253.23181,0,0.45597735,,person
47.91543,810.1214,150.31192,990.6689,14,0.4443714,,bird
1694.05,89.52111,1786.133,304.4358,0,0.43711412,,person
1591.837,18.577097,1628.123,124.25597,0,0.4298704,,person
1387.4742,0.92308617,1443.3833,181.21106,0,0.42137605,,person
344.29572,491.77652,401.05026,637.66205,0,0.42034882,,person
1171.3407,138.40613,1221.0022,257.6715,0,0.41811135,,person
1697.0164,159.24446,1768.7703,305.63507,0,0.38143587,,person
46.048244,809.2447,150.50084,989.55817,0,0.34966993,,person
172.71242,0.0,193.2991,36.47873,0,0.3444219,,person
1301.4819,3.8702774,1343.7328,105.19952,0,0.3441635,,person
228.28873,27.591156,287.43033,96.989525,0,0.33417603,,person
389.1083,513.9179,457.3942,669.6021,0,0.32340372,,person
453.3067,508.8402,514.9885,639.03296,0,0.29598352,,person
675.2945,598.75287,750.9306,795.0348,0,0.824739,,person
1135.057,885.47906,1235.5167,1071.6895,0,0.79212564,,person
1462.6049,346.99677,1534.3998,511.08087,0,0.7771857,,person
245.99529,466.63174,327.22287,644.78546,0,0.7521136,,person
1395.4048,708.8652,1493.943,885.8694,0,0.7328139,,person
1848.2856,646.57874,1919.5034,838.8131,0,0.7041523,,person
1795.1122,156.40823,1861.6432,287.50763,0,0.67024964,,person
755.83496,415.75314,814.4991,576.5634,0,0.64478064,,person
722.5826,0.0,769.3425,91.986626,0,0.63534266,,person
926.3269,190.80208,979.4927,323.10245,0,0.6005847,,person
1620.9034,17.877548,1661.8597,126.84375,0,0.58385706,,person
569.12384,289.26227,631.91956,425.40503,0,0.56845397,,person
1091.0077,53.007614,1138.0508,156.13889,0,0.56059366,,person
94.04688,128.63701,143.95538,249.4402,0,0.55155617,,person
1679.0051,13.79884,1735.5569,150.89754,0,0.5407667,,person
231.55486,25.599998,294.3504,144.17784,0,0.5198147,,person
710.4253,216.82727,767.2356,362.3064,0,0.5083469,,person
1474.7578,502.72067,1558.9069,673.0977,0,0.4832284,,person
1141.3844,474.85867,1213.3577,615.0019,0,0.48239174,,person
798.50885,70.745224,838.45917,195.6099,0,0.47472283,,person
344.0434,490.46594,397.3529,631.06934,0,0.47233286,,person
48.908813,811.60583,153.7378,989.81213,14,0.4716697,,bird
371.30942,5.16148,425.49362,125.63721,0,0.46070385,,person
1207.3679,108.36456,1252.7755,244.947,0,0.44364682,,person
853.06146,62.785378,890.0724,192.92267,0,0.43332398,,person
904.84357,84.18986,944.1041,195.94588,0,0.43262824,,person
984.8879,114.24038,1044.2948,255.62709,0,0.417458,,person
1592.2537,18.722443,1628.7686,123.911385,0,0.41220984,,person
1171.5776,136.98015,1219.3448,254.2662,0,0.4075237,,person
1695.6025,93.03868,1787.405,303.6583,0,0.3903385,,person
1386.4,1.4609528,1442.8405,181.3003,0,0.3847459,,person
389.81232,497.03622,457.0872,668.4667,0,0.38101092,,person
230.62239,26.00615,291.9575,94.751656,0,0.36116347,,person
174.14099,0.0,194.2648,37.32681,0,0.35394433,,person
454.39914,508.85898,514.7343,639.50885,0,0.318735,,person
1302.59,3.6146164,1343.2401,104.564186,0,0.29824427,,person
47.12836,811.1617,153.16144,989.04553,0,0.29495758,,person
675.1375,595.40094,750.95435,793.4409,0,0.8359929,,person
1134.5414,880.86334,1231.7446,1073.0836,0,0.81325394,,person
1394.9795,709.7842,1486.7194,887.2736,0,0.7531281,,person
1848.8837,645.09924,1919.473,837.971,0,0.7523906,,person
245.6445,470.73322,326.41855,648.596,0,0.7464243,,person
1462.4038,351.01282,1535.4651,517.8353,0,0.7405231,,person
1796.6338,157.23602,1862.1365,287.8872,0,0.70416826,,person
925.95886,191.33853,980.4364,323.16733,0,0.68493867,,person
373.13367,4.5787582,425.37222,123.49981,0,0.6056952,,person
